AvgSpotLen	BioSample	DATASTORE_filetype	Experiment	Group	Library_Name	MBases	MBytes	Run	SRA_Sample	Sample_Name	Assay_Type	BioProject	BioSampleModel	Center_Name	Consent	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	collection_date	geo_loc_name	host	isolation_source	lat_lon
146	SAMN05990297	contigs sra	SRX2344222	Subject B; Day 7; Probiotic Treatment	PROB.B7	1	0	SRR5015150	SRS1793697	PROB.B7	OTHER	PRJNA351747	Metagenome or environmental	YOUNGSTOWN STATE UNIVERSITY	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2016-11-13	human gut metagenome	ILLUMINA	2017-11-20	SRP093220	not applicable	USA: Youngstown	Homo sapiens	Feces	41.0998 N 80.6495 W
182	SAMN05990302	contigs sra	SRX2344223	Subject D; Day 7; Probiotic Control	PROB.D7	7	3	SRR5015151	SRS1793698	PROB.D7	OTHER	PRJNA351747	Metagenome or environmental	YOUNGSTOWN STATE UNIVERSITY	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2016-11-13	human gut metagenome	ILLUMINA	2017-11-20	SRP093220	not applicable	USA: Youngstown	Homo sapiens	Feces	41.0998 N 80.6495 W
117	SAMN05990298	contigs sra	SRX2344224	Subject B; Day 42; Probiotic Treatmen	PROB.B42	2	1	SRR5015152	SRS1793699	PROB.B42	OTHER	PRJNA351747	Metagenome or environmental	YOUNGSTOWN STATE UNIVERSITY	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2016-11-13	human gut metagenome	ILLUMINA	2017-11-20	SRP093220	not applicable	USA: Youngstown	Homo sapiens	Feces	41.0998 N 80.6495 W
193	SAMN05990308	contigs sra	SRX2344225	Subject G; Day 7; Probiotic Treatment	PROB.G7	4	2	SRR5015153	SRS1793700	PROB.G7	OTHER	PRJNA351747	Metagenome or environmental	YOUNGSTOWN STATE UNIVERSITY	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2016-11-13	human gut metagenome	ILLUMINA	2017-11-20	SRP093220	not applicable	USA: Youngstown	Homo sapiens	Feces	41.0998 N 80.6495 W
202	SAMN05990299	contigs sra	SRX2344226	Subject C; Day 0; Probiotic Treatment	PROB.C0	4	2	SRR5015154	SRS1793701	PROB.C0	OTHER	PRJNA351747	Metagenome or environmental	YOUNGSTOWN STATE UNIVERSITY	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2016-11-13	human gut metagenome	ILLUMINA	2017-11-20	SRP093220	not applicable	USA: Youngstown	Homo sapiens	Feces	41.0998 N 80.6495 W
84	SAMN05990307	contigs sra	SRX2344227	Subject G; Day 0; Probiotic Treatment	PROB.G0	0	0	SRR5015155	SRS1793702	PROB.G0	OTHER	PRJNA351747	Metagenome or environmental	YOUNGSTOWN STATE UNIVERSITY	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2016-11-13	human gut metagenome	ILLUMINA	2017-11-20	SRP093220	not applicable	USA: Youngstown	Homo sapiens	Feces	41.0998 N 80.6495 W
143	SAMN05990305	contigs sra	SRX2344228	Subject E; Day 42; Probiotic Treatment	PROB.E42	8	4	SRR5015156	SRS1793703	PROB.E42	OTHER	PRJNA351747	Metagenome or environmental	YOUNGSTOWN STATE UNIVERSITY	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2016-11-13	human gut metagenome	ILLUMINA	2017-11-20	SRP093220	not applicable	USA: Youngstown	Homo sapiens	Feces	41.0998 N 80.6495 W
214	SAMN05990293	contigs sra	SRX2344229	Subject A; Day 0; Probiotic Treatment	PROB.A0	5	3	SRR5015157	SRS1793704	PROB.A0	OTHER	PRJNA351747	Metagenome or environmental	YOUNGSTOWN STATE UNIVERSITY	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2016-11-13	human gut metagenome	ILLUMINA	2017-11-20	SRP093220	not applicable	USA: Youngstown	Homo sapiens	Feces	41.0998 N 80.6495 W
168	SAMN05990303	contigs sra	SRX2344230	Subject D; Day 42; Probiotic Control	PROB.D42	10	4	SRR5015158	SRS1793705	PROB.D42	OTHER	PRJNA351747	Metagenome or environmental	YOUNGSTOWN STATE UNIVERSITY	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2016-11-13	human gut metagenome	ILLUMINA	2017-11-20	SRP093220	not applicable	USA: Youngstown	Homo sapiens	Feces	41.0998 N 80.6495 W
190	SAMN05990306	contigs sra	SRX2344231	Subject F; Day 0; Probiotic Treatment	PROB.F0	5	2	SRR5015159	SRS1793706	PROB.F0	OTHER	PRJNA351747	Metagenome or environmental	YOUNGSTOWN STATE UNIVERSITY	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2016-11-13	human gut metagenome	ILLUMINA	2017-11-20	SRP093220	not applicable	USA: Youngstown	Homo sapiens	Feces	41.0998 N 80.6495 W
